ga.regionId,ga.source,ga.medium,ga.sessions,ga.deviceCategory,ga.users,ga.pageviews,ga.transactions,ga.transactionRevenue
20021,google,organic,33,mobile,10,73,0,0
20021,google,organic,10,tablet,3,10,0,0
20021,huaweispain.com,referral,10,desktop,3,10,0,0
20021,rockstargames.com,referral,10,desktop,3,10,0,0
20021,t.co,referral,7,desktop,3,7,0,0
20021,vocento,display,10,desktop,3,89,0,0
20021,yahoo,display,10,desktop,3,20,0,0
20021,(direct),(none),49,desktop,10,125,0,0
20021,(direct),(none),33,mobile,3,40,0,0
20021,androidpit.es,referral,7,tablet,3,7,0,0
20021,google,organic,20,desktop,3,20,0,0
20021,google,organic,40,mobile,13,86,0,0
20022,(direct),(none),10,desktop,3,30,0,0
20022,(direct),(none),26,mobile,10,49,0,0
20022,google,organic,10,desktop,3,10,0,0
20022,vocento,display,7,desktop,3,13,0,0
20022,(direct),(none),10,mobile,3,10,0,0
20023,bing,organic,10,desktop,3,10,0,0
20023,google,organic,10,desktop,3,30,0,0
20023,google,organic,7,mobile,3,7,0,0
20023,yahoo,display,7,desktop,3,26,0,0
20023,google,organic,7,desktop,3,7,0,0
20024,google,organic,7,desktop,3,7,0,0
20024,philips,link-building,10,mobile,3,10,0,0
20024,soluciona,newsletter,7,desktop,3,7,0,0
20025,(direct),(none),7,mobile,3,13,0,0
20025,nikon,link-building,7,desktop,3,13,0,0
20026,(direct),(none),16,desktop,7,23,0,0
20026,(direct),(none),20,mobile,10,92,0,0
20026,bing,organic,10,desktop,3,10,0,0
20026,google,organic,125,desktop,46,521,0,0
20026,google,organic,7,tablet,3,26,0,0
20026,iphoneros.com,referral,10,desktop,3,40,0,0
20026,philips,link-building,10,desktop,3,20,0,0
20026,rockstargames.com,referral,20,desktop,7,20,0,0
20026,(direct),(none),16,mobile,7,16,0,0
20026,google,organic,30,desktop,10,303,0,0
20028,google,organic,16,desktop,7,49,0,0
20034,(direct),(none),10,mobile,3,20,0,0
20035,(direct),(none),7,mobile,3,13,0,0
20035,barcelonalowdown.com,referral,7,desktop,3,26,0,0
20035,bq,link-building,10,desktop,3,20,0,0
20035,google,organic,16,mobile,7,46,0,0
20035,vocento,display,7,desktop,3,7,0,0
20035,barcelonalowdown.com,referral,7,desktop,3,26,0,0
20035,google,organic,7,mobile,3,7,0,0
20037,google,organic,10,desktop,3,10,0,0
20037,google,organic,10,mobile,3,49,0,0
20037,google,organic,10,mobile,3,247,0,0
20040,(direct),(none),7,tablet,3,13,0,0
20040,google,organic,10,desktop,3,40,0,0
20041,google,organic,7,desktop,3,7,0,0
20041,vocento,display,7,desktop,3,7,0,0
20044,(direct),(none),7,tablet,3,13,0,0
20045,google,organic,10,desktop,3,109,0,0
20045,google,organic,7,desktop,3,7,0,0
20046,tiendeo.com,referral,7,desktop,3,7,0,0
20046,google,organic,7,desktop,3,13,0,0
20047,google,organic,10,desktop,3,10,0,0
20049,google,organic,10,desktop,3,10,0,0
20050,(direct),(none),10,desktop,3,40,0,0
20050,(direct),(none),7,mobile,3,7,0,0
20050,google,organic,40,desktop,13,297,0,0
20050,google,organic,13,mobile,7,13,0,0
20050,google,organic,20,tablet,7,89,0,0
20050,blog.ofertitas.es,referral,10,desktop,3,20,0,0
20050,google,organic,10,desktop,3,49,0,0
20052,(direct),(none),33,desktop,13,181,0,0
20052,(direct),(none),26,mobile,10,214,0,0
20052,(direct),(none),16,tablet,7,33,0,0
20052,google,organic,132,desktop,43,867,0,0
20052,google,organic,40,mobile,13,247,0,0
20052,google,organic,10,tablet,3,89,0,0
20052,m.facebook.com,referral,10,mobile,3,10,0,0
20052,samsung,link-building,10,desktop,3,10,0,0
20052,samsung,link-building,10,mobile,3,10,0,0
20052,vocento,display,7,mobile,3,7,0,0
20052,vocento,display,7,tablet,3,7,0,0
20052,yahoo,display,13,desktop,7,13,0,0
20052,yahoo,display,7,mobile,3,13,0,0
20052,(direct),(none),30,desktop,7,79,0,0
20052,(direct),(none),7,mobile,3,13,0,0
20052,google,organic,20,desktop,7,89,0,0
20053,google,organic,46,desktop,16,122,0,0
20053,soluciona,newsletter,7,desktop,3,20,0,0
20053,vocento,display,7,tablet,3,7,0,0
20053,google,organic,7,desktop,3,46,0,0
20054,(direct),(none),16,desktop,7,96,0,0
20054,(direct),(none),7,tablet,3,13,0,0
20054,barcelonalowdown.com,referral,7,desktop,3,7,0,0
20054,google,organic,40,desktop,13,119,0,0
20054,google,organic,7,tablet,3,7,0,0
20054,philips,link-building,10,desktop,3,10,0,0
20054,google,organic,20,desktop,3,138,0,0
20055,(direct),(none),13,desktop,7,59,0,0
20055,google,organic,36,desktop,13,66,0,0
20055,google,organic,10,mobile,3,10,0,0
20056,(direct),(none),30,desktop,13,76,0,0
20056,(direct),(none),10,tablet,3,49,0,0
20056,facebook.com,referral,10,desktop,3,10,0,0
20056,google,organic,26,desktop,10,40,0,0
20056,google,organic,23,tablet,10,145,0,0
20056,m.xataka.com,referral,10,tablet,3,30,0,0
20056,soluciona,newsletter,7,desktop,3,7,0,0
20056,soluciona,newsletter,7,mobile,3,13,0,0
20056,google,organic,26,desktop,3,26,0,0
20057,(direct),(none),43,desktop,7,508,0,0
20057,google,organic,36,desktop,13,115,0,0
20057,vocento,display,7,tablet,3,7,0,0
20058,(direct),(none),7,desktop,3,7,0,0
20058,bing,organic,10,desktop,3,79,0,0
20058,google,organic,13,desktop,7,20,0,0
20058,soluciona,newsletter,10,tablet,3,40,0,0
20058,(direct),(none),10,tablet,3,40,0,0
20059,es.wikipedia.org,referral,7,desktop,3,20,0,0
20059,google,organic,16,desktop,7,16,0,0
20059,google,organic,10,mobile,3,10,0,0
20059,yahoo,display,7,mobile,3,7,0,0
20060,google,organic,7,desktop,3,7,0,0
20060,google,cpc,7,desktop,3,7,0,0
20060,google,organic,49,desktop,3,1048,0,0
20060,google,organic,26,mobile,3,528,0,0
20060,google,organic,3,mobile,3,66,0,0
20062,(direct),(none),7,tablet,3,7,0,0
20079,google,organic,10,desktop,3,10,0,0
20083,google,organic,10,desktop,3,40,0,0
20084,(direct),(none),10,desktop,3,10,0,0
20084,google,organic,43,desktop,16,43,0,0
20084,vocento,display,7,desktop,3,13,0,0
20085,elgrupoinformatico.com,referral,10,desktop,3,20,0,0
20085,google,organic,16,desktop,7,49,0,0
20085,shop.lenovo.com,referral,10,mobile,3,188,0,0
20086,samsung,link-building,10,mobile,3,10,0,0
20088,(direct),(none),7,mobile,3,7,0,0
20088,google,organic,23,desktop,10,23,0,0
20089,google,organic,16,desktop,7,40,0,0
20090,google,organic,10,desktop,3,10,0,0
20091,google,organic,10,desktop,3,10,0,0
20091,google,organic,10,mobile,3,10,0,0
20091,sevilla.abc.es,referral,7,desktop,3,13,0,0
20092,xbox.com,referral,7,desktop,3,7,0,0
20094,(direct),(none),7,desktop,3,20,0,0
20094,google,organic,23,desktop,10,63,0,0
20094,(direct),(none),10,desktop,3,59,0,0
20095,google,organic,10,desktop,3,30,0,0
20096,(direct),(none),10,mobile,3,99,0,0
20097,google,organic,10,desktop,3,10,0,0
20099,(direct),(none),7,desktop,3,7,0,0
20099,google,organic,10,mobile,3,10,0,0
20100,laliga.es,referral,7,desktop,3,13,0,0
20101,(direct),(none),13,desktop,7,26,0,0
20101,(direct),(none),7,mobile,3,79,0,0
20101,google,organic,7,desktop,3,20,0,0
20101,google,organic,7,mobile,3,7,0,0
20101,thrustmaster.com,referral,7,desktop,3,7,0,0
20101,(direct),(none),49,desktop,3,168,0,0
20101,(direct),(none),10,mobile,3,49,0,0
20102,(direct),(none),10,desktop,3,30,0,0
20102,(direct),(none),36,mobile,10,132,0,0
20102,google,organic,43,desktop,16,79,0,0
20102,(direct),(none),10,desktop,3,119,0,0
20102,google,organic,23,desktop,3,53,0,0
20103,google,organic,10,desktop,3,30,0,0
20103,google,organic,10,mobile,3,10,0,0
20103,google,organic,10,mobile,3,10,0,0
20104,google,organic,13,desktop,7,13,0,0
20104,reg_site,newsletter,7,desktop,3,20,0,0
20104,google,organic,7,desktop,3,7,0,0
20105,(direct),(none),7,mobile,3,13,0,0
20105,huaweispain.com,referral,23,mobile,3,46,0,0
20106,(direct),(none),33,desktop,16,73,0,0
20106,(direct),(none),7,mobile,3,7,0,0
20106,(direct),(none),33,tablet,3,198,0,0
20106,ask,organic,10,desktop,3,10,0,0
20106,barcelonalowdown.com,referral,23,desktop,3,162,0,0
20106,barcelonalowdown.com,referral,3,desktop,3,23,0,0
20106,bing,organic,10,desktop,3,30,0,0
20106,google,organic,73,desktop,20,719,0,0
20106,google,organic,46,mobile,16,570,0,0
20106,(direct),(none),7,desktop,3,20,0,0
20106,bing,organic,10,desktop,3,59,0,0
20106,google,cpc,7,mobile,3,7,0,0
20106,google,organic,53,desktop,10,890,0,0
20106,google,organic,30,mobile,13,69,0,0
20113,(direct),(none),7,desktop,3,7,0,0
20113,(direct),(none),10,desktop,3,178,0,0
20114,google,organic,10,desktop,3,10,0,0
20114,google,organic,10,mobile,3,40,0,0
20117,(direct),(none),7,tablet,3,13,0,0
20121,(direct),(none),10,tablet,3,30,0,0
20121,es.search.yahoo.com,referral,7,desktop,3,40,0,0
20121,google,organic,13,desktop,7,13,0,0
20121,(direct),(none),10,mobile,3,10,0,0
20121,(direct),(none),10,tablet,3,10,0,0
20121,google,cpc,20,desktop,3,89,0,0
20123,google,organic,10,desktop,3,10,0,0
20123,m.facebook.com,referral,10,mobile,3,99,0,0
20123,yahoo,display,7,desktop,3,7,0,0
20126,google,organic,10,desktop,3,10,0,0
20126,google,organic,7,mobile,3,7,0,0
20129,(direct),(none),10,desktop,3,59,0,0
20129,(direct),(none),7,tablet,3,7,0,0
20129,google,organic,49,desktop,10,956,36,13708.42516
20129,google,organic,3,desktop,3,86,3,1246.220469
20129,google,organic,3,desktop,3,86,3,1246.220469
20129,google,organic,3,desktop,3,86,3,1246.220469
20129,google,organic,7,mobile,3,13,0,0
20129,vocento,display,7,mobile,3,13,0,0
20129,google,organic,7,desktop,3,7,0,0
20131,(direct),(none),16,desktop,7,59,0,0
20131,(direct),(none),10,mobile,3,10,0,0
20131,google,organic,46,desktop,16,155,0,0
20131,google,organic,13,mobile,7,40,0,0
20131,reg_site,newsletter,7,desktop,3,13,0,0
20131,(direct),(none),7,mobile,3,7,0,0
20131,google,organic,20,desktop,7,158,0,0
20131,google,organic,13,mobile,3,20,0,0
20132,soluciona,newsletter,10,mobile,3,40,0,0
20133,(direct),(none),7,desktop,3,7,0,0
20133,(direct),(none),10,tablet,3,69,0,0
20133,google,cpc,7,tablet,3,7,0,0
20133,google,organic,23,desktop,10,76,0,0
20133,google,organic,7,mobile,3,33,0,0
20133,soluciona,newsletter,7,tablet,3,7,0,0
20133,xataka.com,referral,10,desktop,3,89,0,0
20133,google,organic,20,desktop,7,53,0,0
20133,google,organic,7,mobile,3,33,0,0
20137,(direct),(none),16,desktop,7,53,0,0
20137,(direct),(none),7,mobile,3,86,0,0
20137,google,organic,16,desktop,7,102,0,0
20137,(direct),(none),30,desktop,3,129,0,0
20137,google,organic,7,desktop,3,20,0,0
20138,(direct),(none),10,mobile,3,10,0,0
20138,bing,organic,7,desktop,3,13,0,0
20138,google,organic,26,desktop,10,59,0,0
20141,google,organic,7,desktop,3,20,0,0
20141,google,organic,7,tablet,3,13,0,0
20146,(direct),(none),7,mobile,3,7,0,0
20148,(direct),(none),20,desktop,7,148,0,0
20148,(direct),(none),7,mobile,3,7,0,0
20148,google,organic,82,desktop,30,320,0,0
20148,google,organic,10,mobile,3,10,0,0
20148,google,organic,10,tablet,3,10,0,0
20148,soluciona,newsletter,7,tablet,3,7,0,0
20148,t.co,referral,10,mobile,3,10,0,0
20148,(direct),(none),23,mobile,3,53,0,0
20148,google,organic,10,desktop,3,40,0,0
20149,google,organic,10,desktop,3,10,0,0
20150,(direct),(none),10,desktop,3,89,0,0
20150,google,organic,7,desktop,3,7,0,0
20150,reg_site,newsletter,7,desktop,3,7,0,0
20151,(direct),(none),10,desktop,3,119,0,0
20151,(direct),(none),33,mobile,13,40,0,0
20151,(direct),(none),7,tablet,3,13,0,0
20151,google,organic,69,desktop,30,178,0,0
20151,google,organic,53,mobile,20,181,0,0
20151,google,organic,10,tablet,3,10,0,0
20151,rowenta,link-building,7,mobile,3,7,0,0
20151,(direct),(none),16,desktop,7,43,0,0
20151,google,cpc,7,desktop,3,7,0,0
20151,google,organic,7,mobile,3,7,0,0
20152,(direct),(none),7,mobile,3,7,0,0
20152,google,organic,36,desktop,13,142,0,0
20152,yahoo,display,7,desktop,3,26,0,0
20152,google,organic,26,desktop,7,33,0,0
20153,google,organic,10,tablet,3,10,0,0
20153,rockstargames.com,referral,10,desktop,3,10,0,0
20153,search.1and1.com,referral,10,desktop,3,20,0,0
20154,(direct),(none),10,mobile,3,10,0,0
20154,es.search.yahoo.com,referral,7,desktop,3,7,0,0
20154,google,organic,46,desktop,16,56,0,0
20154,yahoo,display,20,desktop,10,26,0,0
20154,youtube.com,referral,10,desktop,3,20,0,0
20155,google,organic,16,desktop,7,16,0,0
20155,google,organic,7,mobile,3,7,0,0
20155,philips,link-building,10,desktop,3,20,0,0
20156,google,organic,10,desktop,3,30,0,0
20156,google,organic,10,mobile,3,10,0,0
20157,adslzone.net,referral,7,desktop,3,20,0,0
20157,google,organic,10,desktop,3,10,0,0
20157,google,organic,7,tablet,3,59,0,0
20159,google,organic,30,desktop,3,208,0,0
20159,yahoo,display,7,desktop,3,7,0,0
20160,(direct),(none),46,desktop,20,106,0,0
20160,(direct),(none),59,mobile,16,211,0,0
20160,blog.ofertitas.es,referral,7,tablet,3,7,0,0
20160,cdn.viglink.com,referral,7,desktop,3,7,0,0
20160,devolo.com,referral,7,desktop,3,20,0,0
20160,google,cpc,7,desktop,3,26,0,0
20160,google,organic,343,desktop,135,643,0,0
20160,google,organic,178,mobile,69,406,0,0
20160,google,organic,13,tablet,7,13,0,0
20160,lg,link-building,10,mobile,3,10,0,0
20160,philips,link-building,10,desktop,3,10,0,0
20160,rockstargames.com,referral,30,desktop,10,30,0,0
20160,samsung,link-building,30,desktop,10,49,0,0
20160,search.alot.com,referral,7,desktop,3,7,0,0
20160,soluciona,newsletter,7,mobile,3,7,0,0
20160,vocento,display,26,mobile,13,26,0,0
20160,web.telegram.org,referral,10,desktop,3,10,0,0
20160,yahoo,display,132,desktop,66,218,0,0
20160,yahoo,display,23,mobile,10,59,0,0
20160,zonaforo.meristation.com,referral,7,desktop,3,13,0,0
20160,(direct),(none),7,mobile,3,7,0,0
20160,google,cpc,7,desktop,3,20,0,0
20160,google,organic,10,desktop,3,10,0,0
20161,google,organic,10,desktop,3,10,0,0
20161,google,organic,10,tablet,3,10,0,0
20161,xbox.com,referral,7,desktop,3,13,0,0
20161,yahoo,display,7,desktop,3,7,0,0
20162,(direct),(none),10,desktop,3,40,0,0
20162,(direct),(none),10,mobile,3,10,0,0
20162,3djuegos.com,referral,16,desktop,7,158,0,0
20162,google,organic,33,desktop,13,43,0,0
20162,google,organic,20,mobile,7,30,0,0
20162,yahoo,display,7,desktop,3,20,0,0
20163,(direct),(none),86,desktop,43,86,0,0
20163,google,organic,10,desktop,3,20,0,0
20165,google,organic,7,desktop,3,7,0,0
20168,(direct),(none),40,desktop,20,40,0,0
20171,google,organic,7,desktop,3,20,0,0
20171,yd,rtb,10,desktop,3,40,0,0
20177,googto.com,referral,7,desktop,3,7,0,0
20179,google,organic,10,desktop,3,10,0,0
20181,(direct),(none),13,desktop,7,13,0,0
20181,google,cpc,7,desktop,3,7,0,0
20181,google,organic,16,desktop,7,46,0,0
20181,huaweispain.com,referral,10,desktop,3,10,0,0
20181,yahoo,organic,7,tablet,3,20,0,0
20181,google,organic,7,desktop,3,13,0,0
20184,(direct),(none),7,desktop,3,7,0,0
20198,(direct),(none),16,desktop,7,16,0,0
20198,(direct),(none),76,mobile,20,353,0,0
20198,3djuegos.com,referral,7,mobile,3,20,0,0
20198,google,organic,96,desktop,36,129,0,0
20198,google,organic,46,mobile,16,112,0,0
20198,google,organic,7,tablet,3,7,0,0
20198,google.com.co,referral,7,desktop,3,7,0,0
20198,vocento,display,7,desktop,3,13,0,0
20198,yahoo,display,69,desktop,33,132,0,0
20199,(direct),(none),20,mobile,7,138,0,0
20199,androidpit.es,referral,30,desktop,3,89,0,0
20199,google,organic,16,desktop,7,16,0,0
20199,google,organic,7,mobile,3,20,0,0
20199,yahoo,display,13,desktop,7,13,0,0
20200,google,organic,16,mobile,7,16,0,0
20200,vocento,display,7,desktop,3,7,0,0
20200,vocento,display,7,tablet,3,7,0,0
20200,yahoo,display,20,desktop,10,33,0,0
20201,(direct),(none),10,mobile,3,10,0,0
20201,google,organic,10,mobile,3,10,0,0
20202,google,organic,10,desktop,3,10,0,0
20202,google,organic,7,mobile,3,7,0,0
20202,yahoo,display,7,desktop,3,7,0,0
20203,(direct),(none),20,desktop,10,20,0,0
20203,(direct),(none),53,mobile,20,102,0,0
20203,3djuegos.com,referral,7,desktop,3,20,0,0
20203,adslzone.net,referral,7,desktop,3,7,0,0
20203,androidpit.es,referral,7,desktop,3,7,0,0
20203,as,display,20,tablet,7,20,0,0
20203,cdn.viglink.com,referral,10,desktop,3,10,0,0
20203,co.search.yahoo.com,referral,7,desktop,3,7,0,0
20203,elotrolado.net,referral,7,mobile,3,7,0,0
20203,google,organic,320,desktop,119,386,0,0
20203,google,organic,135,mobile,53,188,0,0
20203,google,organic,33,tablet,13,33,0,0
20203,huaweispain.com,referral,10,desktop,3,10,0,0
20203,marketingnews.es,referral,7,desktop,3,7,0,0
20203,rockstargames.com,referral,10,desktop,3,10,0,0
20203,samsung,link-building,10,desktop,3,99,0,0
20203,samsung,link-building,10,mobile,3,10,0,0
20203,vocento,display,7,mobile,3,13,0,0
20203,xbox.com,referral,10,desktop,3,10,0,0
20203,yahoo,display,92,desktop,46,138,0,0
20203,(direct),(none),13,mobile,3,26,0,0
20203,abc,display,7,mobile,3,7,0,0
20203,google,cpc,7,tablet,3,7,0,0
20203,google,organic,26,desktop,7,76,0,0
20203,google,organic,10,mobile,3,10,0,0
20204,google,organic,16,desktop,7,16,0,0
20205,(direct),(none),10,mobile,3,10,0,0
20205,google,cpc,10,desktop,3,10,0,0
20205,yahoo,display,13,desktop,7,13,0,0
20206,google,organic,10,mobile,3,10,0,0
20206,marketingdirecto.com,referral,7,desktop,3,7,0,0
20206,yahoo,display,7,desktop,3,7,0,0
20208,yahoo,display,7,desktop,3,7,0,0
20208,yahoo,organic,16,desktop,3,26,0,0
20209,(direct),(none),7,mobile,3,7,0,0
20209,facebook.com,referral,10,desktop,3,10,0,0
20209,google,cpc,10,mobile,3,10,0,0
20209,google,organic,13,desktop,7,13,0,0
20209,philips,link-building,10,desktop,3,10,0,0
20209,samsung,link-building,10,desktop,3,10,0,0
20209,vocento,display,7,mobile,3,7,0,0
20209,vocento,display,7,tablet,3,7,0,0
20209,yahoo,display,33,desktop,16,40,0,0
20210,cdn.viglink.com,referral,7,desktop,3,20,0,0
20210,google,organic,10,desktop,3,10,0,0
20210,yahoo,display,7,desktop,3,7,0,0
20210,yahoo,display,7,mobile,3,7,0,0
20211,(direct),(none),7,desktop,3,7,0,0
20211,(direct),(none),7,tablet,3,20,0,0
20211,bing,organic,10,mobile,3,10,0,0
20211,cdn.viglink.com,referral,7,desktop,3,33,0,0
20211,gamerzone.avermedia.com,referral,10,desktop,3,30,0,0
20211,google,cpc,7,tablet,3,7,0,0
20211,google,organic,106,desktop,40,122,0,0
20211,google,organic,16,mobile,7,16,0,0
20211,rockstargames.com,referral,10,desktop,3,10,0,0
20211,rockstargames.com,referral,10,mobile,3,10,0,0
20211,samsung,link-building,10,desktop,3,10,0,0
20211,samsung,link-building,7,mobile,3,7,0,0
20211,t.co,referral,7,desktop,3,7,0,0
20211,yahoo,display,53,desktop,26,59,0,0
20211,google,organic,10,mobile,3,59,0,0
20215,google,organic,7,desktop,3,26,0,0
20215,google,organic,10,mobile,3,10,0,0
20218,google,organic,10,desktop,3,20,0,0
20226,(direct),(none),26,desktop,10,175,0,0
20226,(direct),(none),7,mobile,3,7,0,0
20226,anuncios.com,referral,7,desktop,3,7,0,0
20226,es.couponandgo.com,referral,7,desktop,3,7,0,0
20226,google,cpc,7,tablet,3,7,0,0
20226,google,organic,171,desktop,59,1665,33,13538.63586
20226,google,organic,3,desktop,3,102,3,1353.863586
20226,google,organic,3,desktop,3,102,3,1353.863586
20226,google,organic,3,desktop,3,102,3,1353.863586
20226,google,organic,3,desktop,3,102,3,1353.863586
20226,google,organic,13,mobile,7,26,0,0
20226,as,display,7,mobile,3,7,0,0
20226,blog.ofertitas.es,referral,10,mobile,3,10,0,0
20226,economia.elpais.com,referral,16,desktop,3,46,0,0
20226,google,organic,16,desktop,7,30,0,0
20226,google,organic,33,mobile,13,158,0,0
20227,google,organic,10,desktop,3,59,0,0
20227,google,organic,10,tablet,3,30,0,0
20228,(direct),(none),138,desktop,53,508,0,0
20228,(direct),(none),3,desktop,3,13,0,0
20228,(direct),(none),3,desktop,3,13,0,0
20228,(direct),(none),3,desktop,3,13,0,0
20228,(direct),(none),3,desktop,3,13,0,0
20228,(direct),(none),10,mobile,3,30,0,0
20228,google,cpc,7,desktop,3,7,0,0
20228,google,organic,214,desktop,86,1071,0,0
20228,google,organic,16,mobile,7,49,0,0
20228,google,organic,10,tablet,3,59,0,0
20228,m.applesfera.com,referral,10,mobile,3,30,0,0
20228,soluciona,newsletter,7,tablet,3,13,0,0
20228,vocento,display,13,desktop,7,13,0,0
20228,xataka.com,referral,20,desktop,7,20,0,0
20228,(direct),(none),59,desktop,10,82,0,0
20228,google,cpc,13,desktop,7,20,0,0
20228,google,cpc,10,mobile,3,69,0,0
20228,google,organic,204,desktop,46,996,0,0
20228,google,organic,49,mobile,13,92,0,0
20229,(direct),(none),260,desktop,99,745,0,0
20229,(direct),(none),30,mobile,10,40,0,0
20229,(direct),(none),7,tablet,3,26,0,0
20229,blog.ofertitas.es,referral,10,mobile,3,30,0,0
20229,bq,link-building,10,desktop,3,59,0,0
20229,distribucionactualidad.com,referral,10,desktop,3,30,0,0
20229,google,organic,907,desktop,333,3083,0,0
